variance	energy	centroid	frequency	c5	c6	c7	c8	c9	c10	target
0.320802054	261.3599145	5381.416007	5.164344561	-0.026154031	0.586863824	9.908084904	-0.001473282	460.48	110.9884151	contos
0.341469679	211.7878165	5738.077363	5.31443851	0.041746197	0.540874567	10.25207712	-0.001091244	601	161.5625157	contos
0.245377971	183.6758328	4707.772939	5.556406277	0.047840543	0.454728301	4.829173841	-0.001078698	274.16	229.4820533	contos
0.095433649	217.7387995	4845.736127	5.529208098	0.012444598	0.416645636	4.318902113	-0.000370767	418.4	481.9887854	contos
0.070921909	273.5136454	5418.976845	5.055892336	0.000317799	0.405732324	5.756448239	-0.000300458	672.25	258.1761555	contos
0.053798763	200.4027196	5359.103665	4.487787395	-0.1261464	0.452499602	7.947708612	-0.000324446	648.25	168.2626213	contos
0.058581123	258.4121939	5388.259643	4.427227237	-0.164324747	0.448912822	7.462952291	-0.000269555	677.24	241.3662438	contos
0.05278828	258.4121939	5205.752047	4.455259723	-0.168974995	0.466373615	8.241131151	-0.000224494	765.5	361.0293169	contos
0.043589248	269.6154232	5047.83184	4.592083839	-0.095647999	0.426397447	7.33101125	-0.000213226	692.8	432.767439	contos
0.282549923	260.8991256	6051.546711	2.632778895	0.133342142	0.554854553	9.391613908	-0.000960155	659.33	149.3821752	contos
0.210295381	320.1101558	4902.909414	2.641175118	0.208775335	0.455267252	4.550440389	-0.000832957	735.41	475.0397583	contos
0.09872438	350.0087263	4948.490656	2.622379041	0.128691798	0.413885693	7.296675071	-0.000495559	980.62	91.28600381	contos
0.103454765	350.0087263	3836.977474	2.592054942	0.101930582	0.350036388	4.628994229	-0.000878602	943.21	119.8726376	contos
0.100820634	388.0410899	4969.663773	2.609374499	0.147262167	0.346253536	8.813227773	-0.000397201	954.45	92.8048308	contos
0.097293346	424.2402085	4310.801935	2.704276833	0.153729657	0.293972835	5.534100229	-0.000454702	953.76	71.96145205	contos
0.090072387	378.2782248	3783.943409	2.79780776	0.129044358	0.245739491	4.552680353	-0.000586332	914.99	87.07034784	contos
0.076727863	376.2814774	3713.764523	2.848413111	0.119154315	0.302659559	5.266660922	-0.000389789	867.85	106.5451266	contos
0.071436784	376.2814774	3463.855489	2.766885788	0.167316348	0.244865915	3.660776473	-0.000399147	894.71	114.7308049	contos
0.071986675	376.2814774	3402.702797	2.790575345	0.109542229	0.239646869	1.956236634	-0.000344457	770.05	538.1368085	contos
